variety_id,crop,variety_name,year_of_release,stress_tolerance,key_attributes,states_acronyms,seasons,days_to_maturity,evidence_quality,stress_types_list,seednet_match,seednet_url,seednet_variety_id,search_results_total,institution,data_source
INDIAN_BEAN__DOLICHO__Kashi_Bouni_Sem-9__nan,Indian Bean,Kashi Bouni Sem-9,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",CHH,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H120717546,H120717546,43,"IIVR, Post Box No. 01, Post Office Jakhini (Shahanshahpur)",csc
INDIAN_BEAN__DOLICHO__kashi_Bauni_Sem-3__nan,Indian Bean,Kashi Bouni Sem-3,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",MAD,Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H120717548,H120717548,17,"IIVR, Post Box No. 01, Post Office Jakhini (Shahanshahpur)",csc
INDIAN_BEAN__DOLICHO__Pusa_Sem_Lal__DB-5___nan,Indian Bean,Pusa Sem Lal,2022,No,Standard variety,"DL, HR, GJ, MP, MH",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H120717549,H120717549,0,ICAR-IARI,csc
BRINJAL__Pusa_Hybrid-6__nan,Bitter gourd,Pusa Hybrid-6,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, UP, BR, JH, RJ",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0702072,H0702072,181,"Division of Vegetable Science, ICAR-IARI",csc
BOTTLE_GOURD__Punjab_Barkat__nan,Bottle gourd,Punjab Barkat,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","HP, UK, JAM",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H040217562,H040217562,106,PAU,csc
WATERMELON__NWMH-945__nan,Watermelon,NWMH-945,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest",MEG,Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H041917582,H041917582,11,Nirmal Seeds Pvt. Ltd.,csc
GRAPES__Manjari_Medika__nan,Grape,Manjari Medika,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, UP, BR, JH, MP",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H060317583,H060317583,174,"ICAR-National Research Centre for Grapes, Majari Farm",csc
GRAPES__Manjari_Shyama__nan,Grape,Manjari Shyama,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MH, KA, TEL",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H060317584,H060317584,132,"ICAR-National Research Centre for Grapes, Majari Farm",csc
GRAPES__Manjari_Kishmis__nan,Grape,Manjari Kishmish,2022,No,Standard variety,"MH, KA, TEL",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H060317585,H060317585,0,"ICAR-National Research Centre for Grapes, Majari Farm",csc
FENUGREEK__RMT-350__H080117593,Fenugreek,RMt-354,2022,No,Standard variety,"MH, KA, TEL",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0801017,H0801017,2,"AICRP on Spices, Deptt. Of Plant Breeding and Genetics, S.K.N. College of Agriculture, (SKN Agriculture University)",csc
FENUGREEK__Gujarat_Methi_3__nan,Fenugreek,Gujarat Methi 3,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","RJ, GJ, UP, BR, MAD",Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H080117594,H080117594,41,"Research Scientist (Spices), Seed Spices Research Station, Sardarkrushinagar Dantiwada Agricultural University",csc
AJWAIN__BISHOPS_WEED__Dr__YSHRU_Lam_Varsha__nan,Ajwain,Dr. YSRHU Lam Varsha,2022,No,Standard variety,"GJ, UK, AND",Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H130517591,H130517591,0,"AICRP on Spices, Dr. Y.S.R. Horticultural University, Horticultural Research Station",csc
FENNEL__RF-125__nan,Fennel,RF-157,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","RJ, GJ, AND",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H1303002,H1303002,158,"AICRP on Spices, Deptt. Of Plant Breeding and Genetics, S.K.N. College of Agriculture, (SKN Agriculture University)",csc
TOMATO__SJCT01_Jammu_Cherry_Tomato-09__nan,Cherry Tomato,SJCT01/ Jammu Cherry tomato-09,2022,Yes,"Cold, Disease, Drought, Flood, Pest, Salt",JK,Unknown,,Low,Cold|Disease|Drought|Flood|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070517518,H070517518,15,Division of Vegetable Science and floriculture,csc
WHEAT__GEHON___Him_Pratham__H070517519,Cherry Tomato,Him Palam,2022,No,Standard variety,HIM,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0104543,A0104543,1,CSK Himachal Pradesh Krishi Vishvavidyalaya,csc
TOMATO__Pusa_Golden_Cherry_Tomato-2__nan,Cherry Tomato,Pusa Golden Cherry Tomato-2,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070517520,H070517520,103,"Centre for Protected cultivation Technology, ICAR-IARI",csc
ONION__PRO-7__nan,Onion,PRO-7,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",PB,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H010217542,H010217542,180,Department of Vegetable Science,csc
ONION__POH-1__nan,Onion,POH-1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",PB,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H010217543,H010217543,173,Department of Vegetable Science,csc
ONION__PYO-1__nan,Onion,PYO-1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",PB,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H010217545,H010217545,141,Department of Vegetable Science,csc
GROUNDNUT__PEA_NUT_M__POL-2__H010217547,Onion,PWO-2,2022,No,Standard variety,PB,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402049,A0402049,10,Department of Vegetable Science,csc
BITTER_GOURD__Punjab_Kareli-1__H040117557,Bitter gourd,Punjab Karela-15,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",PB,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H040116798,H040116798,85,Department of Vegetable Science,csc
